1000 0
251 252 44
252 253 3
253 254 76
254 255 71
255 256 30
256 257 76
257 258 29
258 259 1
259 260 10
260 261 91
261 262 81
262 263 8
263 264 30
264 265 9
265 266 5
266 267 43
267 268 10
268 269 66
269 270 31
270 271 36
271 272 86
272 273 63
273 274 28
274 275 70
275 276 17
276 277 93
277 278 74
278 279 74
279 280 61
280 281 32
281 282 61
282 283 53
283 284 25
284 285 13
285 286 13
286 287 85
287 288 56
288 289 46
289 290 55
290 291 53
291 292 60
292 293 94
293 294 7
294 295 87
295 296 84
296 297 83
297 298 13
298 299 8
299 300 52
300 301 94
301 302 44
302 303 14
303 304 32
304 305 25
305 306 25
306 307 69
307 308 58
308 309 18
309 310 55
310 311 24
311 312 36
312 313 60
313 314 32
314 315 10
315 316 57
316 317 71
317 318 13
318 319 7
319 320 84
320 321 70
321 322 2
322 323 12
323 324 97
324 325 31
325 326 22
326 327 53
327 328 63
328 329 62
329 330 28
330 331 52
331 332 8
332 333 22
333 334 49
334 335 1
335 336 50
336 337 34
337 338 59
338 339 37
339 340 55
340 341 90
341 342 94
342 343 72
343 344 85
344 345 92
345 346 63
346 347 20
347 348 25
348 349 38
349 350 28
350 351 8
351 352 75
352 353 95
353 354 70
354 355 8
355 356 96
356 357 41
357 358 8
358 359 7
359 360 75
360 361 62
361 362 65
362 363 68
363 364 21
364 365 8
365 366 66
366 367 11
367 368 24
368 369 9
369 370 77
370 371 9
371 372 87
372 373 31
373 374 52
374 375 16
375 376 73
376 377 32
377 378 75
378 379 77
379 380 6
380 381 80
381 382 11
382 383 54
383 384 85
384 385 75
385 386 73
386 387 67
387 388 41
388 389 34
389 390 27
390 391 86
391 392 92
392 393 41
393 394 31
394 395 34
395 396 51
396 397 17
397 398 86
398 399 83
399 400 39
400 401 59
401 402 41
402 403 97
403 404 10
404 405 2
405 406 59
406 407 80
407 408 73
408 409 13
409 410 10
410 411 69
411 412 28
412 413 65
413 414 34
414 415 17
415 416 45
416 417 9
417 418 32
418 419 48
419 420 37
420 421 21
421 422 57
422 423 70
423 424 91
424 425 39
425 426 79
426 427 84
427 428 68
428 429 2
429 430 86
430 431 71
431 432 39
432 433 85
433 434 14
434 435 18
435 436 34
436 437 15
437 438 14
438 439 96
439 440 71
440 441 20
441 442 35
442 443 37
443 444 78
444 445 27
445 446 92
446 447 44
447 448 27
448 449 88
449 450 82
450 451 34
451 452 65
452 453 63
453 454 33
454 455 7
455 456 12
456 457 82
457 458 55
458 459 36
459 460 6
460 461 1
461 462 43
462 463 99
463 464 17
464 465 82
465 466 34
466 467 21
467 468 95
468 469 57
469 470 71
470 471 91
471 472 55
472 473 72
473 474 2
474 475 15
475 476 10
476 477 89
477 478 20
478 479 70
479 480 5
480 481 48
481 482 75
482 483 71
483 484 19
484 485 56
485 486 17
486 487 6
487 488 40
488 489 47
489 490 6
490 491 46
491 492 27
492 493 88
493 494 32
494 495 86
495 496 14
496 497 46
497 498 100
498 499 72
499 500 53
500 501 80
501 502 96
502 503 20
503 504 31
504 505 21
505 506 23
506 507 53
507 508 4
508 509 23
509 510 95
510 511 43
511 512 53
512 513 86
513 514 95
514 515 32
515 516 35
516 517 21
517 518 90
518 519 14
519 520 49
520 521 5
521 522 61
522 523 29
523 524 26
524 525 59
525 526 45
526 527 40
527 528 30
528 529 29
529 530 4
530 531 85
531 532 25
532 533 52
533 534 43
534 535 36
535 536 9
536 537 99
537 538 36
538 539 45
539 540 83
540 541 66
541 542 52
542 543 87
543 544 69
544 545 43
545 546 4
546 547 15
547 548 34
548 549 23
549 550 75
550 551 34
551 552 5
552 553 14
553 554 77
554 555 56
555 556 45
556 557 94
557 558 41
558 559 56
559 560 78
560 561 66
561 562 15
562 563 50
563 564 74
564 565 25
565 566 33
566 567 6
567 568 91
568 569 56
569 570 1
570 571 67
571 572 69
572 573 88
573 574 93
574 575 95
575 576 95
576 577 86
577 578 26
578 579 47
579 580 56
580 581 9
581 582 86
582 583 43
583 584 80
584 585 41
585 586 85
586 587 16
587 588 93
588 589 39
589 590 65
590 591 40
591 592 86
592 593 53
593 594 42
594 595 52
595 596 90
596 597 38
597 598 71
598 599 17
599 600 25
600 601 54
601 602 86
602 603 49
603 604 87
604 605 96
605 606 23
606 607 79
607 608 73
608 609 39
609 610 52
610 611 71
611 612 1
612 613 39
613 614 37
614 615 27
615 616 56
616 617 75
617 618 78
618 619 84
619 620 42
620 621 60
621 622 57
622 623 57
623 624 87
624 625 28
625 626 66
626 627 61
627 628 95
628 629 22
629 630 85
630 631 11
631 632 37
632 633 66
633 634 85
634 635 82
635 636 80
636 637 43
637 638 12
638 639 97
639 640 31
640 641 87
641 642 40
642 643 29
643 644 26
644 645 19
645 646 4
646 647 6
647 648 32
648 649 61
649 650 79
650 651 99
651 652 10
652 653 59
653 654 54
654 655 81
655 656 74
656 657 25
657 658 92
658 659 90
659 660 50
660 661 64
661 662 52
662 663 32
663 664 19
664 665 84
665 666 89
666 667 1
667 668 97
668 669 99
669 670 14
670 671 100
671 672 55
672 673 29
673 674 23
674 675 90
675 676 67
676 677 60
677 678 7
678 679 72
679 680 32
680 681 16
681 682 59
682 683 18
683 684 60
684 685 86
685 686 68
686 687 72
687 688 77
688 689 41
689 690 97
690 691 57
691 692 79
692 693 93
693 694 65
694 695 55
695 696 71
696 697 58
697 698 21
698 699 96
699 700 61
700 701 58
701 702 34
702 703 97
703 704 32
704 705 82
705 706 36
706 707 99
707 708 100
708 709 67
709 710 63
710 711 81
711 712 31
712 713 36
713 714 57
714 715 10
715 716 92
716 717 37
717 718 31
718 719 35
719 720 43
720 721 41
721 722 70
722 723 11
723 724 18
724 725 20
725 726 30
726 727 50
727 728 89
728 729 20
729 730 91
730 731 28
731 732 9
732 733 54
733 734 53
734 735 43
735 736 70
736 737 60
737 738 54
738 739 8
739 740 27
740 741 54
741 742 50
742 743 99
743 744 75
744 745 90
745 746 3
746 747 98
747 748 74
748 749 49
749 750 62
750 751 1
751 752 46
752 753 39
753 754 97
754 755 50
755 756 54
756 757 69
757 758 96
758 759 95
759 760 70
760 761 78
761 762 29
762 763 63
763 764 29
764 765 35
765 766 56
766 767 63
767 768 4
768 769 50
769 770 44
770 771 86
771 772 87
772 773 52
773 774 93
774 775 22
775 776 60
776 777 17
777 778 80
778 779 69
779 780 4
780 781 51
781 782 76
782 783 73
783 784 85
784 785 4
785 786 11
786 787 83
787 788 55
788 789 18
789 790 60
790 791 24
791 792 7
792 793 34
793 794 49
794 795 42
795 796 28
796 797 59
797 798 42
798 799 44
799 800 98
800 801 49
801 802 36
802 803 97
803 804 54
804 805 33
805 806 11
806 807 61
807 808 3
808 809 96
809 810 70
810 811 7
811 812 45
812 813 29
813 814 84
814 815 9
815 816 100
816 817 84
817 818 6
818 819 97
819 820 4
820 821 32
821 822 26
822 823 3
823 824 80
824 825 20
825 826 31
826 827 17
827 828 61
828 829 86
829 830 15
830 831 73
831 832 28
832 833 60
833 834 90
834 835 33
835 836 99
836 837 48
837 838 22
838 839 78
839 840 78
840 841 96
841 842 92
842 843 15
843 844 100
844 845 21
845 846 40
846 847 14
847 848 75
848 849 4
849 850 40
850 851 74
851 852 87
852 853 49
853 854 51
854 855 92
855 856 26
856 857 10
857 858 76
858 859 89
859 860 81
860 861 32
861 862 14
862 863 90
863 864 99
864 865 39
865 866 88
866 867 77
867 868 16
868 869 73
869 870 6
870 871 45
871 872 69
872 873 55
873 874 85
874 875 48
875 876 9
876 877 65
877 878 83
878 879 44
879 880 2
880 881 54
881 882 63
882 883 14
883 884 56
884 885 47
885 886 82
886 887 59
887 888 91
888 889 20
889 890 56
890 891 23
891 892 94
892 893 67
893 894 84
894 895 35
895 896 79
896 897 69
897 898 100
898 899 62
899 900 60
900 901 56
901 902 94
902 903 76
903 904 35
904 905 42
905 906 32
906 907 12
907 908 36
908 909 58
909 910 32
910 911 97
911 912 60
912 913 73
913 914 79
914 915 86
915 916 49
916 917 44
917 918 4
918 919 64
919 920 42
920 921 24
921 922 63
922 923 28
923 924 46
924 925 34
925 926 44
926 927 36
927 928 77
928 929 90
929 930 36
930 931 72
931 932 2
932 933 67
933 934 25
934 935 11
935 936 31
936 937 93
937 938 53
938 939 63
939 940 72
940 941 98
941 942 31
942 943 89
943 944 61
944 945 83
945 946 92
946 947 63
947 948 58
948 949 3
949 950 12
950 951 38
951 952 29
952 953 52
953 954 89
954 955 32
955 956 40
956 957 85
957 958 75
958 959 48
959 960 61
960 961 71
961 962 68
962 963 45
963 964 55
964 965 96
965 966 71
966 967 43
967 968 46
968 969 90
969 970 59
970 971 35
971 972 40
972 973 33
973 974 30
974 975 16
975 976 93
976 977 25
977 978 41
978 979 16
979 980 96
980 981 69
981 982 98
982 983 89
983 984 24
984 985 25
985 986 28
986 987 95
987 988 62
988 989 36
989 990 93
990 991 76
991 992 98
992 993 68
993 994 77
994 995 37
995 996 13
996 997 25
997 998 38
998 999 30
369 375 39
14 32 17
280 282 7
566 576 90
966 971 82
889 905 14
587 597 61
490 505 44
188 190 33
963 979 15
841 844 52
503 506 74
644 646 20
152 171 39
87 95 16
571 585 78
610 630 29
794 811 49
461 476 39
880 899 55
312 331 80
61 81 95
101 108 81
216 225 85
83 89 31
177 195 10
418 433 89
608 624 38
33 41 37
723 733 90
880 895 10
703 711 34
806 825 85
823 830 55
117 135 29
663 668 35
846 851 10
61 67 40
609 628 37
449 453 60
705 715 90
412 421 65
552 568 57
82 102 6
910 924 95
330 350 33
26 29 30
984 995 74
783 792 74
41 47 61
531 546 36
185 204 56
650 666 12
481 493 53
341 352 86
107 113 43
421 437 37
678 691 98
563 565 59
90 101 33
331 335 99
413 430 1
673 691 60
423 425 25
530 542 80
774 790 81
452 454 27
273 291 17
949 959 57
901 917 16
29 49 31
726 732 40
565 579 12
230 234 60
969 973 83
852 857 64
955 965 66
722 731 54
854 870 61
249 264 71
148 161 25
943 963 66
764 769 9
282 296 44
956 973 35
289 299 76
593 609 20
457 475 62
353 364 71
781 799 49
466 477 25
714 722 74
392 400 100
420 422 41
762 778 91
935 948 50
679 684 64
129 146 76
339 343 57
102 119 59
15 20 53
891 896 10
480 489 44
638 651 84
82 93 87
879 897 49
977 988 81
735 751 70
36 56 9
240 250 30
764 767 56
100 104 57
170 180 4
47 58 8
300 312 48
441 446 32
543 557 73
698 704 22
179 182 79
891 904 80
699 707 64
934 953 19
237 252 82
260 275 33
920 935 37
693 711 21
75 90 45
601 611 82
985 992 89
256 271 39
203 216 62
109 117 49
585 597 74
302 312 3
849 862 36
8 27 88
796 798 78
763 779 37
794 802 78
821 833 29
651 658 80
256 261 81
99 101 40
807 822 5
593 605 94
134 137 38
334 348 23
205 210 70
897 909 68
513 522 22
263 279 38
764 775 15
479 482 19
772 780 87
741 754 72
374 377 51
14 23 69
126 141 48
688 697 75
390 402 14
691 699 61
25 45 72
335 355 29
663 666 82
843 858 90
309 323 15
143 145 5
311 327 15
99 107 69
138 151 59
379 397 54
601 606 54
670 674 63
630 644 36
33 45 28
454 469 31
875 887 13
702 714 70
923 935 8
407 416 25
991 993 59
93 100 83
654 674 3
51 62 32
128 147 27
70 88 27
600 607 30
336 341 77
2 11 19
133 151 33
817 823 15
366 374 76
178 187 7
129 143 68
116 119 61
459 471 66
607 611 58
515 523 79
44 61 39
62 78 52
436 440 63
729 744 10
920 923 42
622 627 9
129 138 80
648 667 71
729 740 49
611 628 38
464 481 78
440 444 90
738 745 56
462 470 53
347 362 52
425 429 41
437 448 86
261 273 20
703 719 9
93 96 12
442 446 96
756 768 17
569 571 76
979 997 72
337 341 53
362 376 93
52 62 77
319 331 14
591 608 28
158 174 29
867 871 45
865 883 48
117 126 74
231 245 72
623 632 4
184 193 90
780 790 44
185 190 73
673 686 9
93 110 28
385 399 59
349 355 48
319 330 100
964 983 77
86 88 20
161 181 7
690 693 35
453 467 63
621 636 54
279 286 97
524 528 45
290 309 63
539 549 6
225 238 77
209 219 28
785 790 98
261 271 42
509 523 23
132 145 69
720 728 65
572 584 10
406 408 56
19 34 10
882 893 74
439 458 52
726 740 38
117 130 3
989 995 22
820 840 59
851 863 12
447 451 32
446 465 52
536 539 51
891 901 96
347 355 43
797 803 10
522 526 68
522 529 100
357 369 94
981 986 31
105 110 33
202 208 78
156 159 23
974 990 60
772 791 98
593 608 88
946 965 83
650 670 42
884 895 20
450 453 61
452 462 36
605 607 46
519 522 40
472 487 5
58 70 37
78 81 79
608 625 50
473 492 71
977 979 58
930 949 84
192 203 78
487 504 20
980 982 58
105 116 92
86 103 83
176 178 32
724 739 57
536 553 79
162 174 48
939 949 50
418 429 87
612 614 81
662 673 9
571 584 37
258 278 20
341 344 75
938 950 40
990 997 17
609 612 40
572 585 83
810 821 17
686 703 12
661 675 66
371 381 24
973 980 44
970 986 25
231 236 20
79 89 13
519 537 95
904 921 5
677 688 99
632 637 77
385 390 21
185 205 22
738 753 6
420 432 87
736 744 57
625 635 97
766 781 30
546 554 40
988 996 25
376 395 57
472 482 100
391 408 68
428 434 26
141 150 7
656 672 48
567 571 92
866 883 16
291 294 98
164 173 58
927 944 19
850 864 12
969 977 58
905 917 4
424 426 51
514 526 31
395 398 48
326 330 92
665 676 19
140 142 37
939 955 90
851 856 98
722 738 58
927 930 3
262 269 20
561 581 68
433 437 100
295 303 39
124 126 31
429 449 59
64 68 64
611 629 3
647 664 74
247 252 38
629 641 31
584 598 24
680 683 68
69 86 70
519 536 71
20 33 61
44 57 48
365 368 45
246 250 99
595 606 18
45 57 70
346 352 100
701 716 90
490 496 18
64 79 5
300 307 6
810 817 6
323 333 66
407 425 61
259 261 97
662 669 37
365 367 84
339 348 16
818 830 56
910 923 96
450 463 44
508 524 48
946 963 35
820 823 94
434 437 56
616 622 70
300 311 14
81 92 85
456 476 92
436 442 89
454 466 58
43 55 79
445 454 82
810 812 10
687 700 47
525 531 4
146 166 87
800 815 5
129 132 31
797 809 47
392 411 5
619 624 87
460 472 48
454 457 74
140 157 47
407 418 84
285 293 15
26 32 64
530 543 72
120 129 100
266 281 28
626 636 89
938 954 26
125 130 10
462 468 92
455 458 88
990 996 86
355 358 71
555 565 39
871 877 92
812 824 66
229 233 26
811 816 31
809 825 4
369 387 74
377 392 71
132 152 12
67 77 51
734 750 68
420 434 74
75 80 41
657 660 58
477 494 45
131 149 82
601 607 99
989 992 56
514 516 16
530 535 39
168 174 42
957 965 45
970 987 37
866 869 33
201 219 36
128 138 79
546 549 65
656 662 76
157 163 85
639 659 44
862 881 6
83 85 83
789 808 34
666 673 99
585 599 80
509 527 38
657 667 62
250 263 39
464 467 89
450 464 62
475 482 44
621 626 41
751 763 52
133 145 66
575 579 41
247 262 16
273 288 32
144 148 7
297 310 79
428 436 21
833 844 74
738 749 25
781 787 64
527 542 64
900 910 64
23 26 51
517 532 31
220 239 46
49 51 37
506 526 84
688 704 37
903 912 94
374 387 47
46 59 7
583 601 25
371 389 37
75 88 65
461 479 36
845 865 88
625 629 17
403 415 44
571 583 97
147 154 78
521 534 65
41 43 5
140 151 61
152 172 66
143 154 79
326 332 51
631 641 76
344 361 66
545 561 91
576 586 61
377 388 87
112 126 75
611 627 34
990 994 93
52 71 62
174 191 81
738 758 100
861 874 19
841 849 5
586 590 25
321 335 20
422 429 53
513 533 61
893 895 91
141 158 27
574 585 85
489 506 49
321 327 59
934 952 44
559 571 87
790 799 79
495 502 32
285 303 39
230 240 99
295 302 89
721 737 41
491 503 72
956 965 37
124 143 87
556 569 51
838 850 99
823 828 38
43 53 92
80 92 57
671 680 96
490 497 26
847 865 35
955 973 90
278 283 14
630 649 31
248 250 86
926 943 29
653 661 7
102 116 43
102 107 1
987 996 21
416 432 62
774 784 42
292 294 99
91 110 30
547 549 23
427 433 5
856 869 64
190 200 5
9 19 73
617 621 43
291 306 83
556 573 64
910 915 65
479 488 25
828 832 43
166 181 83
263 269 2
754 765 38
581 588 23
625 638 55
527 538 12
410 414 24
143 159 42
958 966 1
267 280 31
457 466 43
309 328 93
267 279 89
241 243 86
121 136 40
163 176 88
514 524 89
120 130 48
629 637 29
980 985 62
156 171 96
620 632 54
718 736 61
775 793 86
845 852 98
253 273 11
538 553 68
720 732 10
939 958 15
63 81 65
207 226 69
153 159 42
874 891 57
119 126 92
597 613 12
920 937 58
828 830 59
135 152 54
467 486 8
572 587 87
826 836 93
22 35 33
763 770 75
74 76 55
352 355 70
61 64 61
32 42 53
184 189 99
656 670 48
912 925 58
890 903 49
82 100 18
669 681 16
182 200 51
541 546 94
305 320 87
736 754 55
544 557 30
253 268 45
158 167 25
959 963 5
828 842 79
246 253 9
103 123 5
457 477 87
720 722 32
758 760 52
449 457 70
222 224 18
515 525 30
835 854 41
591 611 99
688 699 31
309 314 85
533 541 53
307 316 8
570 589 95
933 939 81
695 709 72
507 509 45
964 977 68
326 340 53
152 162 49
188 206 61
246 254 39
878 883 60
936 938 72
422 436 72
542 547 50
248 257 27
338 341 58
867 879 12
548 555 7
274 287 87
619 639 6
894 897 25
823 842 93
687 705 28
890 901 39
216 223 95
120 136 32
712 732 91
209 222 31
565 576 100
289 302 60
546 558 40
525 541 60
100 116 98
859 870 27
379 390 53
46 65 29
759 764 3
267 285 75
593 607 38
156 163 43
235 248 73
853 861 64
563 574 33
781 797 93
657 673 59
172 184 22
143 161 63
657 659 68
34 37 86
422 427 81
236 239 91
223 240 59
382 384 80
653 673 62
675 691 3
6 24 71
17 34 93
281 299 37
832 846 23
109 113 68
152 160 25
634 651 33
834 846 35
814 827 11
382 395 59
578 586 90
231 241 88
847 850 84
878 880 12
415 428 49
565 581 8
719 725 11
511 525 83
803 814 73
878 882 68
941 943 30
216 235 61
277 279 10
700 709 70
577 579 23
951 962 3
984 988 76
147 160 10
306 312 73
246 265 50
339 352 97
757 762 89
741 744 65
763 775 7
100 114 30
858 861 44
977 997 51
992 999 42
30 39 58
502 510 46
566 579 56
190 209 85
389 392 99
633 643 32
730 733 11
274 279 49
728 733 95
398 409 47
109 112 1
965 975 57
368 377 14
135 138 24
441 456 72
568 585 53
91 103 71
95 115 77
884 897 2
298 312 50
797 800 93
922 940 32
585 602 22
701 714 22
142 151 39
274 290 19
64 70 56
306 322 10
369 378 32
738 754 77
631 638 59
109 114 39
6 19 43
861 881 49
823 834 57
342 356 84
307 318 78
970 977 62
987 994 41
298 314 74
800 808 42
385 394 51
373 377 73
204 223 70
184 202 4
975 990 91
214 229 38
851 854 53
689 705 18
648 658 31
258 263 92
433 446 10
459 479 62
596 609 69
518 532 70
37 49 90
916 934 77
653 656 14
787 795 85
680 692 22
662 682 6
576 589 97
339 353 14
10 14 34
227 244 96
531 549 75
704 723 29
456 468 51
474 493 89
512 517 45
25 41 14
302 316 11
118 123 45
466 473 67
494 506 61
99 114 93
713 728 41
68 78 6
829 833 3
869 880 83
111 117 95
249 266 23
565 571 43
573 587 60
237 250 81
188 194 82
673 687 51
904 911 58
606 620 50
4 11 27
285 288 74
104 122 24
374 385 26
468 472 34
686 702 68
611 624 79
401 420 15
356 368 59
632 638 87
722 732 79
604 607 87
137 148 16
244 254 15
187 199 89
144 161 50
428 448 18
588 601 55
190 206 82
550 556 72
170 186 37
143 149 41
862 877 80
54 66 2
496 501 25
834 847 72
517 533 53
701 717 54
727 742 63
171 174 73
31 39 38
33 42 29
550 560 22
799 814 73
760 776 71
523 527 74
116 125 100
556 568 70
842 844 98
736 751 70
223 237 14
753 761 39
895 897 58
269 281 12
214 233 89
359 379 81
438 444 79
142 149 27
824 826 73
359 377 36
172 183 91
299 309 74
273 290 87
834 838 18
985 998 53
940 942 36
887 892 90
886 891 32
149 160 32
779 792 63
145 164 81
275 289 49
462 465 82
813 816 52
527 536 89
958 970 59
973 989 42
889 892 94
995 999 82
870 873 69
407 414 55
844 851 64
274 285 37
345 363 74
133 152 63
807 818 88
780 782 6
101 116 3
127 133 57
981 995 26
705 710 84
309 315 36
95 107 33
84 96 86
925 931 7
405 415 93
716 724 55
671 674 91
218 234 10
135 154 29
712 723 16
880 894 89
135 151 10
234 247 12
748 752 14
320 332 39
140 153 100
832 837 83
693 698 9
543 562 2
624 630 57
359 366 81
766 771 53
630 645 28
88 92 18
770 774 76
747 760 45
986 993 41
810 815 32
283 286 32
566 586 77
868 878 27
530 550 66
193 206 38
661 663 31
506 519 15
246 262 82
608 611 68
369 380 17
396 415 54
374 392 88
176 192 99
601 604 2
268 275 6
944 946 51
518 528 81
729 746 99
425 439 90
411 414 82
549 567 79
156 165 11
317 320 66
943 950 20
549 560 51
600 603 40
715 729 94
976 984 8
250 253 56
118 133 79
623 625 40
682 688 16
12 17 90
11 17 64
975 987 67
529 538 22
380 385 96
799 808 94
907 911 99
343 357 35
269 288 81
78 94 59
523 535 8
511 530 22
376 382 33
791 795 74
690 694 30
758 775 1
250 252 61
372 385 20
183 185 71
822 836 29
329 337 54
937 948 35
845 848 74
381 385 65
689 691 23
228 245 6
976 989 9
898 913 37
792 802 42
88 106 59
8 20 26
298 317 39
757 777 32
475 487 76
791 798 94
778 786 20
6 20 4
238 256 45
973 984 1
777 790 95
744 754 14
210 227 31
429 445 8
995 997 92
286 289 6
943 951 67
422 434 59
594 598 65
136 149 10
606 625 8
445 450 31
298 307 41
948 961 90
851 862 41
463 472 30
76 83 18
798 817 14
159 163 22
460 475 41
416 420 69
366 373 58
315 330 34
872 876 12
161 171 91
713 733 6
220 231 19
93 101 46
405 422 7
693 703 34
839 845 4
974 987 58
569 587 32
96 111 14
63 71 17
202 215 48
702 705 75
600 609 10
22 25 26
924 939 17
94 105 16
43 58 7
172 191 56
841 854 64
30 43 88
362 369 24
281 290 58
904 909 5
628 648 79
251 261 64
421 439 62
62 65 36
392 397 54
204 221 32
645 663 3
391 403 62
557 573 45
514 525 50
276 282 4
326 346 29
59 75 68
366 385 30
102 110 85
246 255 69
835 837 98
970 978 74
866 879 46
957 963 23
242 261 41
825 837 76
28 40 73
577 582 73
971 978 64
179 195 5
92 94 30
616 624 3
539 555 1
339 359 26
825 830 44
734 740 42
151 170 91
939 944 100
113 130 47
983 986 48
721 734 76
103 114 39
330 335 21
749 763 82
983 999 84
324 330 91
991 997 29
681 700 23
387 397 94
130 136 94
1 20 51
871 890 5
186 206 41
226 245 14
959 975 19
339 342 31
355 366 22
651 654 91
686 697 58
11 20 27
255 258 45
262 266 93
1 3 50
448 462 22
905 919 64
902 915 45
559 572 13
848 864 74
666 674 21
818 820 38
20 31 34
974 978 10
350 356 49
164 167 71
964 967 44
608 628 62
441 447 78
911 925 21
54 58 43
210 217 53
713 731 93
947 965 34
676 686 39
243 247 7
402 421 71
860 876 20
55 67 1
437 440 38
843 863 62
204 208 4
211 217 82
298 301 61
864 868 40
803 816 61
500 509 12
657 675 50
189 201 49
378 384 58
45 54 57
476 485 29
857 866 73
63 68 97
713 717 11
684 696 70
423 442 30
566 568 50
838 855 54
988 997 88
887 903 74
902 910 61
306 309 51
924 926 65
584 601 74
693 713 19
123 138 23
971 977 28
827 834 17
43 57 11
699 713 26
842 847 77
264 275 94
936 939 12
397 415 51
877 886 67
805 825 76
535 549 15
424 429 19
580 599 75
776 780 14
576 580 37
888 906 45
898 912 34
392 408 74
623 639 5
176 185 52
147 167 78
697 710 5
405 416 89
243 245 96
486 495 48
837 847 40
287 303 90
701 705 30
137 147 96
453 464 35
746 760 78
661 664 25
452 459 53
758 774 98
528 540 8
527 533 9
318 335 52
138 155 73
29 35 25
896 903 8
255 257 59
51 63 91
203 212 48
517 530 82
945 949 88
381 397 77
456 462 61
600 618 45
352 358 34
766 769 37
28 41 7
166 185 100
988 992 29
662 670 87
211 220 84
419 436 3
485 490 83
177 197 2
229 238 78
824 834 92
990 995 55
916 929 45
470 479 28
477 487 87
533 553 51
598 602 1
574 594 78
700 704 62
65 76 36
655 666 36
267 277 25
153 170 98
246 248 77
413 424 88
671 687 38
265 279 52
397 399 75
725 744 25
351 359 88
547 563 86
367 384 39
865 871 85
897 915 24
300 304 61
131 140 93
827 845 98
934 940 88
921 932 84
91 99 46
228 238 54
380 389 75
301 316 16
481 483 82
597 616 80
72 88 25
512 516 88
390 407 39
140 147 44
419 438 59
146 157 92
184 187 63
340 346 41
649 651 1
462 471 27
779 785 74
782 788 63
804 807 17
629 643 82
439 452 55
38 56 26
748 760 2
913 924 97
853 870 25
641 649 29
710 722 40
132 136 50
515 534 40
843 845 39
971 981 59
745 762 77
536 547 56
909 914 44
923 939 46
768 775 22
970 983 3
233 241 94
134 141 94
22 41 65
173 177 47
728 730 49
897 906 99
547 567 7
608 610 85
49 53 54
454 467 16
560 569 61
718 723 27
308 322 85
103 120 35
637 657 90
140 154 14
523 543 16
289 293 14
509 516 78
204 213 67
366 380 38
164 166 71
508 515 89
955 971 43
13 16 15
855 874 86
505 510 12
798 815 10
740 744 33
659 667 59
303 312 60
